,jpgs,cells,location,site,plot,year
108,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-65-2021.jpg,257354004,M,43,65,2021
109,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-65-202206.jpg,206657339,M,43,65,202206
110,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-65-202210.jpg,199603757,M,43,65,202210
111,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-65-202305.jpg,208009964,M,43,65,202305
112,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-66-2021.jpg,234298795,M,43,66,2021
113,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-66-202206.jpg,194514681,M,43,66,202206
114,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-66-202210.jpg,188370621,M,43,66,202210
115,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-66-202305.jpg,168569168,M,43,66,202305
116,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-67-2021.jpg,202342235,M,43,67,2021
117,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-67-202206.jpg,169559743,M,43,67,202206
118,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-67-202210.jpg,156330556,M,43,67,202210
119,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-67-202305.jpg,139151900,M,43,67,202305
120,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-68-2021.jpg,236535947,M,43,68,2021
121,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-68-202206.jpg,187315741,M,43,68,202206
122,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-68-202210.jpg,184974868,M,43,68,202210
123,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M43-68-202305.jpg,193700234,M,43,68,202305
124,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-85-2021.jpg,208087537,M,45,85,2021
125,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-85-202206.jpg,185393553,M,45,85,202206
126,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-85-202210.jpg,167138500,M,45,85,202210
127,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-85-202305.jpg,190516375,M,45,85,202305
128,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-86-202206.jpg,172278839,M,45,86,202206
129,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-86-202210.jpg,186963287,M,45,86,202210
130,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-86-202305.jpg,171291959,M,45,86,202305
131,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-87-2021.jpg,235721865,M,45,87,2021
132,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-87-202206.jpg,164653534,M,45,87,202206
133,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-87-202210.jpg,195569393,M,45,87,202210
134,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-87-202305.jpg,191035662,M,45,87,202305
135,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-88-2021.jpg,241655890,M,45,88,2021
136,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-88-202206.jpg,199366549,M,45,88,202206
137,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-88-202210.jpg,199403090,M,45,88,202210
138,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M45-88-202305.jpg,218904945,M,45,88,202305
139,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-49-2021.jpg,146799043,M,48,49,2021
140,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-49-202206.jpg,199221927,M,48,49,202206
141,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-49-202210.jpg,200653412,M,48,49,202210
142,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-49-202305.jpg,187710681,M,48,49,202305
143,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-50-2021.jpg,220437203,M,48,50,2021
144,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-50-202206.jpg,181790443,M,48,50,202206
145,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-50-202210.jpg,171604847,M,48,50,202210
146,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-50-202305.jpg,181060143,M,48,50,202305
147,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-51-2021.jpg,240929192,M,48,51,2021
148,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-51-202206.jpg,211873917,M,48,51,202206
149,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-51-202210.jpg,192223617,M,48,51,202210
150,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-51-202305.jpg,197546583,M,48,51,202305
151,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-52-2021.jpg,238656318,M,48,52,2021
