stage,fate,area1,area2,class,action,location
intermediate,intermediate,55.55,64.76,porites astreoides,grow,m
juvenile,juvenile,2.06,4.18,porites astreoides,grow,m
juvenile,juvenile,9.45,14.44,porites astreoides,grow,m
juvenile,juvenile,4.84,5.85,porites astreoides,grow,m
juvenile,juvenile,3.24,4.37,porites astreoides,grow,m
juvenile,juvenile,4.7,5.45,porites astreoides,grow,m
juvenile,juvenile,5.64,6.86,porites astreoides,grow,m
juvenile,juvenile,1.16,2.04,porites astreoides,grow,m
juvenile,juvenile,2.6,2.83,porites astreoides,grow,m
juvenile,juvenile,6.64,10.78,porites astreoides,grow,m
juvenile,juvenile,4.3,4.52,porites astreoides,grow,m
juvenile,juvenile,3.4,3.7,porites astreoides,grow,m
juvenile,juvenile,8.54,11.65,porites astreoides,grow,m
juvenile,juvenile,35.62,37.61,porites astreoides,grow,m
juvenile,juvenile,6.55,9.79,porites astreoides,grow,m
juvenile,juvenile,1.43,2.06,porites astreoides,grow,m
juvenile,juvenile,1.36,2.32,porites astreoides,grow,m
juvenile,juvenile,2.36,4.11,porites astreoides,grow,m
juvenile,juvenile,6.53,12.94,porites astreoides,grow,m
juvenile,juvenile,5.02,6.17,porites astreoides,grow,m
juvenile,juvenile,4.9,8.16,porites astreoides,grow,m
juvenile,juvenile,1.97,2.43,porites astreoides,grow,m
intermediate,intermediate,79.73,62.75,porites astreoides,n/s,m
intermediate,juvenile,79.73,16.82,porites astreoides,n/s,m
adult,adult,363.05,119.51,porites astreoides,n/s,m
adult,juvenile,363.05,44.49,porites astreoides,n/s,m
adult,intermediate,363.05,51.74,porites astreoides,n/s,m
intermediate,intermediate,51.4,91.07,porites astreoides,n/s,m
adult,intermediate,123.72,91.07,porites astreoides,n/s,m
juvenile,juvenile,47.24,47.21,porites astreoides,n/s,m
juvenile,juvenile,47.24,2.46,porites astreoides,n/s,m
juvenile,juvenile,3.6,47.21,porites astreoides,n/s,m
juvenile,juvenile,3.6,2.46,porites astreoides,n/s,m
juvenile,juvenile,33.76,5.27,porites astreoides,n/s,m
juvenile,juvenile,33.76,5.76,porites astreoides,n/s,m
juvenile,juvenile,33.76,12.1,porites astreoides,n/s,m
juvenile,juvenile,23.72,33.49,porites astreoides,n/s,m
juvenile,juvenile,8.66,33.49,porites astreoides,n/s,m
juvenile,juvenile,33.83,26.26,porites astreoides,n/s,m
adult,adult,109.84,110.1,porites astreoides,same,m
juvenile,juvenile,2.06,2.16,porites astreoides,same,m
juvenile,juvenile,21.37,20.92,porites astreoides,same,m
intermediate,intermediate,79.26,76.59,porites astreoides,same,m
juvenile,juvenile,27.94,29.23,porites astreoides,same,m
juvenile,juvenile,11.55,11.3,porites astreoides,same,m
adult,adult,150.71,149.7,porites astreoides,same,m
juvenile,juvenile,11.21,11.38,porites astreoides,same,m
juvenile,juvenile,40.41,38.95,porites astreoides,same,m
intermediate,intermediate,94.94,91.49,porites astreoides,same,m
adult,adult,134.39,132.22,porites astreoides,same,m
juvenile,juvenile,22.8,23.84,porites astreoides,same,m
adult,adult,182.31,173.93,porites astreoides,same,m
juvenile,juvenile,8.93,8.64,porites astreoides,same,m
juvenile,juvenile,22.85,22.66,porites astreoides,same,m
adult,adult,212.6,217.73,porites astreoides,same,m
juvenile,juvenile,5.54,5.79,porites astreoides,same,m
juvenile,juvenile,23.92,24.06,porites astreoides,same,m
juvenile,juvenile,2.27,2.34,porites astreoides,same,m
juvenile,juvenile,2.47,2.49,porites astreoides,same,m
juvenile,juvenile,5.77,5.88,porites astreoides,same,m
juvenile,juvenile,34.94,33.04,porites astreoides,shrink,m
juvenile,juvenile,3.48,2.24,porites astreoides,shrink,m
juvenile,juvenile,2.09,1.26,porites astreoides,shrink,m
intermediate,intermediate,97.14,79.22,porites astreoides,shrink,m
adult,adult,113.88,107.46,porites astreoides,shrink,m
juvenile,juvenile,16.58,13.63,porites astreoides,shrink,m
juvenile,juvenile,9.04,6.16,porites astreoides,shrink,m
intermediate,juvenile,58.12,31.81,porites astreoides,shrink,m
intermediate,juvenile,61.22,47.36,porites astreoides,shrink,m
intermediate,intermediate,81.4,70.73,porites astreoides,shrink,m
juvenile,juvenile,2.35,2.18,porites astreoides,shrink,m
juvenile,juvenile,3.37,2.65,porites astreoides,shrink,m
juvenile,juvenile,34.66,23.33,porites astreoides,shrink,m
intermediate,intermediate,69.03,57.67,porites astreoides,shrink,m
juvenile,juvenile,32.58,27.22,porites astreoides,shrink,m
intermediate,intermediate,67.7,59.86,porites astreoides,shrink,m
juvenile,juvenile,18.57,6.23,porites astreoides,shrink,m
juvenile,juvenile,24.97,7.85,porites astreoides,shrink,m
juvenile,juvenile,45.55,38.81,porites astreoides,shrink,m
intermediate,intermediate,85.29,70.72,porites astreoides,shrink,m
juvenile,juvenile,43.63,39.59,porites astreoides,shrink,m
juvenile,juvenile,14.1,8.46,porites astreoides,shrink,m
juvenile,juvenile,40.09,17.06,porites astreoides,shrink,m
juvenile,juvenile,24.28,21.03,porites astreoides,shrink,m
juvenile,juvenile,8.84,7.32,porites astreoides,shrink,m
juvenile,juvenile,25.46,21.95,porites astreoides,shrink,m
juvenile,juvenile,9.42,4.62,porites astreoides,shrink,m
juvenile,juvenile,6.02,4.12,porites astreoides,shrink,m
juvenile,juvenile,36.15,3.89,porites astreoides,shrink,m
juvenile,juvenile,22.07,20.02,porites astreoides,shrink,m
juvenile,juvenile,40.27,17.01,porites astreoides,shrink,m
juvenile,juvenile,28.41,18.39,porites astreoides,shrink,m
juvenile,juvenile,2.61,2.03,porites astreoides,shrink,m
juvenile,juvenile,20.64,12.99,porites astreoides,shrink,m
juvenile,juvenile,8.6,5.82,porites astreoides,shrink,m
