"period","yearmonth","location","site","plot","cluster","clustersize"
"after 12mo",202305,"Tampico","35","04",0,0
"after 12mo",202305,"Tampico","37","17",1,1
"after 12mo",202305,"Tampico","37","18",0,0
"after 12mo",202305,"Tampico","37","19",0,0
"after 12mo",202305,"Tampico","37","20",0,0
"after 12mo",202305,"Tampico","39","37",1,1
"after 12mo",202305,"Tampico","39","38",0,0
"after 12mo",202305,"Tampico","39","39",0,0
"after 12mo",202305,"Tampico","39","40",0,0
"after 12mo",202305,"Tampico","43","21",0,0
"after 12mo",202305,"Tampico","43","22",0,0
"after 12mo",202305,"Tampico","43","23",0,0
"after 12mo",202305,"Tampico","43","24",0,0
"after 12mo",202305,"Tampico","45","25",0,0
"after 12mo",202305,"Tampico","45","26",1,1
"after 12mo",202305,"Tampico","45","27",0,0
"after 12mo",202305,"Tampico","45","28",0,0
"after 6mo",202210,"Maguey","08","69",0,0
"after 6mo",202210,"Maguey","08","70",0,0
"after 6mo",202210,"Maguey","08","71",0,0
"after 6mo",202210,"Maguey","08","72",0,0
"after 6mo",202210,"Maguey","10","81",0,0
"after 6mo",202210,"Maguey","10","82",0,0
"after 6mo",202210,"Maguey","10","83",0,0
"after 6mo",202210,"Maguey","10","84",0,0
"after 6mo",202210,"Maguey","12","53",0,0
"after 6mo",202210,"Maguey","12","54",0,0
"after 6mo",202210,"Maguey","12","55",0,0
"after 6mo",202210,"Maguey","12","56",0,0
"after 6mo",202210,"Maguey","15","61",0,0
"after 6mo",202210,"Maguey","15","62",0,0
"after 6mo",202210,"Maguey","15","63",0,0
"after 6mo",202210,"Maguey","15","64",0,0
"after 6mo",202210,"Maguey","17","89",0,0
"after 6mo",202210,"Maguey","17","90",0,0
"after 6mo",202210,"Maguey","17","92",0,0
"after 6mo",202210,"Maguey","28","73",0,0
"after 6mo",202210,"Maguey","28","74",0,0
"after 6mo",202210,"Maguey","28","75",0,0
"after 6mo",202210,"Maguey","28","76",0,0
"after 6mo",202210,"Maguey","38","57",0,0
"after 6mo",202210,"Maguey","38","58",0,0
"after 6mo",202210,"Maguey","38","59",0,0
"after 6mo",202210,"Maguey","38","60",0,0
"after 6mo",202210,"Maguey","43","65",0,0
"after 6mo",202210,"Maguey","43","66",0,0
"after 6mo",202210,"Maguey","43","67",0,0
"after 6mo",202210,"Maguey","43","68",0,0
"after 6mo",202210,"Maguey","45","85",0,0
