"period","location","site","plot","counts","mean_size","sd_size"
"dieoff","Tampico","26","47",0,0,NA
"dieoff","Tampico","26","48",0,0,0
"after 12mo","Tampico","35","01",0,0,NA
"after 6mo","Tampico","35","01",0,0,NA
"baseline","Tampico","35","01",2,1,0
"dieoff","Tampico","35","01",0,0,NA
"after 12mo","Tampico","35","02",0,0,NA
"after 6mo","Tampico","35","02",0,0,NA
"baseline","Tampico","35","02",0,0,NA
"dieoff","Tampico","35","02",0,0,NA
"after 12mo","Tampico","35","03",0,0,NA
"after 6mo","Tampico","35","03",0,0,NA
"baseline","Tampico","35","03",2,1,0
"dieoff","Tampico","35","03",0,0,NA
"after 12mo","Tampico","35","04",0,0,NA
"after 6mo","Tampico","35","04",0,0,NA
"baseline","Tampico","35","04",8,1.25,0.462910049886276
"dieoff","Tampico","35","04",0,0,NA
"after 12mo","Tampico","37","17",1,1,NA
"after 6mo","Tampico","37","17",1,0,NA
"baseline","Tampico","37","17",0,0,NA
"dieoff","Tampico","37","17",0,0,NA
"after 12mo","Tampico","37","18",0,0,NA
"after 6mo","Tampico","37","18",0,0,NA
"baseline","Tampico","37","18",4,1.25,0.5
"dieoff","Tampico","37","18",1,1,NA
"after 12mo","Tampico","37","19",0,0,NA
"after 6mo","Tampico","37","19",0,0,NA
"baseline","Tampico","37","19",0,0,NA
"dieoff","Tampico","37","19",0,0,NA
"after 12mo","Tampico","37","20",0,0,NA
"after 6mo","Tampico","37","20",0,0,NA
"baseline","Tampico","37","20",3,1,0
"dieoff","Tampico","37","20",0,0,NA
"after 12mo","Tampico","39","37",1,1,NA
"after 6mo","Tampico","39","37",0,0,NA
"baseline","Tampico","39","37",0,0,NA
"dieoff","Tampico","39","37",0,0,NA
"after 12mo","Tampico","39","38",0,0,NA
"after 6mo","Tampico","39","38",0,0,NA
"baseline","Tampico","39","38",0,0,NA
"dieoff","Tampico","39","38",0,0,NA
"after 12mo","Tampico","39","39",0,0,NA
"after 6mo","Tampico","39","39",0,0,NA
"baseline","Tampico","39","39",0,0,NA
"dieoff","Tampico","39","39",0,0,NA
"after 12mo","Tampico","39","40",0,0,NA
"after 6mo","Tampico","39","40",0,0,NA
"baseline","Tampico","39","40",1,1,NA
"dieoff","Tampico","39","40",1,1,NA
"after 12mo","Tampico","43","21",0,0,NA
"after 6mo","Tampico","43","21",0,0,NA
"baseline","Tampico","43","21",0,0,NA
"dieoff","Tampico","43","21",0,0,NA
"after 12mo","Tampico","43","22",0,0,NA
"after 6mo","Tampico","43","22",0,0,NA
"baseline","Tampico","43","22",0,0,NA
"dieoff","Tampico","43","22",0,0,NA
"after 12mo","Tampico","43","23",0,0,NA
"after 6mo","Tampico","43","23",0,0,NA
"baseline","Tampico","43","23",5,1.2,0.447213595499958
"dieoff","Tampico","43","23",0,0,NA
"after 12mo","Tampico","43","24",0,0,NA
"after 6mo","Tampico","43","24",0,0,NA
